Section,Item,Condition; thresholds,Output
Core calculations,OverallLevel,(LS × PR × PT)^(1/3),Feeds tier selection
Core calculations,Spread,"max(LS, PR, PT) − min(LS, PR, PT)",Feeds balance and branch selection
Balance state,Balanced,Spread ≤ 0.18,Output format; TierName
Balance state,Unbalanced; Mild,0.18 < Spread ≤ 0.30,Output format; TierName; BranchLabel (mild)
Balance state,Unbalanced; Strong,Spread > 0.30,Output format; TierName; BranchLabel (strong)
Branch driver selection,Median,"Middle value of {LS, PR, PT}",Used to compare deltas
Branch driver selection,HighDelta,max − Median,Candidate driver
Branch driver selection,LowDelta,Median − min,Candidate driver
Branch driver selection,Driver pick,If HighDelta ≥ LowDelta; driver is “high metric” (the max); else driver is “low metric” (the min),Determines which branch dictionary to use
Tier ladder; negative,Omni-shambles,OverallLevel < 0.12,TierName Omni-shambles
Tier ladder; negative,Mega-shambles,0.12 ≤ OverallLevel < 0.22,TierName Mega-shambles
Tier ladder; negative,Shambles,0.22 ≤ OverallLevel < 0.32,TierName Shambles
Tier ladder; negative,Bad,0.32 ≤ OverallLevel < 0.40,TierName Bad
Tier ladder; neutral,Decent,0.40 ≤ OverallLevel < 0.55,TierName Decent
Tier ladder; positive,Good,0.55 ≤ OverallLevel < 0.68,TierName Good
Tier ladder; positive,Great,0.68 ≤ OverallLevel < 0.78,TierName Great
Tier ladder; positive,Superb,0.78 ≤ OverallLevel < 0.87,TierName Superb
Tier ladder; positive,Worldclass,0.87 ≤ OverallLevel < 0.93,TierName Worldclass
Tier ladder; positive,Utopia,OverallLevel ≥ 0.93,TierName Transcendent
Scale tiers,Scale 1,1–5 residents,Clamp tier to range Bad–Good
Scale tiers,Scale 2,6–10 residents,Clamp tier to range Bad–Great
Scale tiers,Scale 3,11–20 residents,Clamp tier to range Shambles–Superb
Scale tiers,Scale 4,21–35 residents,Clamp tier to range Mega-shambles–Worldclass
Scale tiers,Scale 5,36+ residents,Clamp tier to range Omni-shambles–Transcendent
Branch labels; high driver,Partytime high,Driver metric is Partytime; driver is high,Mild Party House; Strong Party Mansion
Branch labels; high driver,Productivity high,Driver metric is Productivity; driver is high,Mild Grind House; Strong Sweat Shop
Branch labels; high driver,Living Standards high,Driver metric is Living Standards; driver is high,Mild Showhome; Strong Luxury Bubble
Branch labels; low driver,Living Standards low,Driver metric is Living Standards; driver is low,Mild Shanty Town; Strong Slum Spiral
Branch labels; low driver,Productivity low,Driver metric is Productivity; driver is low,Mild Chaos House; Strong Dysfunctional Commune
Branch labels; low driver,Partytime low,Driver metric is Partytime; driver is low,Mild Dead Vibes; Strong Funeral Parlour
Final output,Balanced output,Spread ≤ 0.18,TierName
Final output,Unbalanced output,Spread > 0.18,TierName; BranchLabel (mild/strong as per Spread)
